Date,0_0,0_1,0_2,0_3,0_4,0_5,0_6,1_0,1_1,1_2,1_3,1_4,1_5,1_6,2_0,2_1,2_2,2_3,2_4,2_5,2_6,3_0,3_1,3_2,3_3,3_4,3_5,3_6,4_0,4_1,4_2,4_3,4_4,4_5,4_6,5_0,5_1,5_2,5_3,5_4,5_5,5_6,6_0,6_1,6_2,6_3,6_4,6_5,6_6,7_0,7_1,7_2,7_3,7_4,7_5,7_6,8_0,8_1,8_2,8_3,8_4,8_5,8_6,9_0,9_1,9_2,9_3,9_4,9_5,9_6
2010-01-01,25522,21233,22903,9526,28928,26174,25064,26469,22977,27665,11083,31640,29720,29522,27179,21639,21422,9878,29083,27837,26975,24691,21359,22554,9835,28314,30126,26056,29118,22941,27737,12053,31224,28067,28134,27166,24166,25742,11145,31051,27302,28302,27225,22726,23142,11626,29987,30905,28865,26862,22107,27282,12361,33095,27762,27622,23359,22237,24356,9490,30894,25662,24362,24266,23369,25343,10873,29165,27087,26851
2010-02-01,23684,19192,20915,8652,26006,22933,22566,23646,21232,24802,10114,28393,26774,26751,23863,19344,19431,8933,25852,25012,23997,21873,20084,19978,8644,24850,27861,23244,25923,20709,24984,10645,28022,25857,25455,24565,22119,23146,10113,28275,24299,25273,24210,20419,20193,10742,26324,29265,25791,23741,19729,24843,11254,30528,25671,24890,20996,20688,22137,8678,27919,23346,21356,21567,21273,22609,9998,25810,23762,24000
2010-03-01,26803,21258,23264,9726,28711,25015,24804,25514,24206,27138,11375,31516,29279,29623,25997,21281,21540,10075,28202,27425,26164,24029,22723,21756,9408,27084,31084,25568,28141,22987,27215,11616,30465,28969,28331,27161,24678,25507,11113,31270,26604,27553,26725,22843,21948,12007,28629,33407,28239,25990,21518,27721,12426,34278,28583,27688,22954,23426,24775,9522,31054,25915,23219,23657,23799,24768,10983,28192,25737,26207
2010-04-01,25893,20690,22680,9386,27863,24162,23967,24136,24377,25838,11145,30409,28028,28868,25186,20532,20907,9618,27253,26342,25210,23217,21953,21050,9166,25994,29879,24832,26249,22302,25829,11052,28894,28637,27665,26196,24107,24269,10837,30340,25417,26165,25886,22133,21374,11612,27600,32480,27385,25357,20863,26843,12084,33328,27704,26673,22045,22651,23883,9134,29978,24985,22386,22965,22963,23888,10606,27104,25040,25508
2010-05-01,26376,21420,23221,9552,28723,25085,24897,24234,26092,26376,11853,31238,28740,29935,26615,21349,21550,10012,28681,26928,26379,24463,22233,22064,9488,27197,30068,25749,26352,23182,26097,11202,29227,30147,28636,26855,25244,25008,11230,31200,25972,26492,26904,23007,22423,12019,28882,32897,28475,26663,21840,27642,12465,33993,28413,27567,22548,23047,24597,9450,30986,25801,23644,23955,23494,24918,10955,28212,26549,26532
2010-06-01,24807,20726,22109,9160,27820,24638,24213,23219,25788,25334,11581,30395,27589,29109,26703,20650,20878,9565,28388,25707,26037,24383,20591,21874,9592,27196,27854,25077,25238,22257,25287,10573,28052,29410,27767,25971,24561,24168,10692,30233,24902,25323,26284,22143,22422,11155,28606,30512,27941,26576,21350,26648,11904,32468,26939,26505,21706,21405,23492,9011,30039,24757,23581,23811,22324,24626,10469,27838,26691,25981
2010-07-01,24830,21524,22438,9445,28694,26072,25323,23833,26664,26013,12061,31252,28472,30203,28618,21268,21613,9788,30169,26431,27600,25836,20485,23167,10132,28869,27282,26015,26056,23106,25923,11022,28980,30701,28645,26957,25413,24936,11234,31334,25585,26294,27504,23039,23925,11191,30424,30072,29293,28385,22557,27207,12166,32851,27366,27285,22261,21285,23827,9353,30791,25453,25111,25211,22760,26126,10803,29350,28736,27284
2010-08-01,24135,21555,22027,9414,28659,26622,25483,23893,26003,26313,11829,31230,28564,29918,29633,21342,21630,9706,30958,25974,28049,26625,19585,23832,10438,29603,26074,26192,26544,23065,26297,11088,29384,30615,28612,27147,25348,24991,11182,31424,25551,26572,27970,23124,24712,10793,31154,28806,29752,29206,23130,27061,12031,32209,26819,27046,22154,20501,23719,9234,30767,25258,25788,25824,22265,26753,10711,29795,29734,27618
2010-09-01,23011,20759,21200,8919,27591,25882,24579,23424,24520,25755,11250,30132,27627,28838,29283,20708,20826,9274,30319,25138,27469,26014,18381,23377,10261,29112,24469,25486,26514,22352,25879,10948,28870,29321,27528,26501,24389,24479,10751,30608,24676,26115,27175,22407,24324,10149,30480,27127,29023,28674,22495,26117,11540,30779,25758,26130,21265,19383,22728,8858,29702,24252,25452,25361,21338,26158,10266,29066,29433,26971
2010-10-01,23770,21487,21842,9254,28513,26674,25634,24518,24525,27167,11507,31053,28878,29625,30244,21300,21572,9600,31370,25703,28452,26968,18955,24122,10643,29971,25047,26413,28236,23246,27209,11752,30375,30311,28259,27667,25026,25599,11189,31588,25402,27456,27959,23193,25210,10646,31392,28082,29963,29774,23292,26976,12027,31925,26576,27045,21862,19991,23457,9190,30713,25201,26209,26233,22015,26905,10612,29983,30476,27838
2010-11-01,23425,20999,21479,9001,27552,25419,24528,24179,23056,26599,10851,29986,28110,28568,29002,20531,20960,9415,30160,24696,27163,25849,18964,23046,10155,28498,24592,25341,28197,22288,26824,11492,30080,28935,27147,26934,24030,24993,10798,30727,24696,27135,26914,22483,24060,10405,30007,28127,28797,28470,22274,26413,11667,31300,26016,26135,20930,19796,22900,8957,29745,24488,25123,25193,21478,25763,10376,28601,29017,26878
2010-12-01,24929,21640,22641,9320,28457,25638,25256,25012,23346,27760,10980,30877,29071,29406,29036,21088,21753,9773,30642,25448,27613,26116,20429,23242,10142,28612,26266,26041,29646,23127,27926,11980,31366,29834,28072,27922,24674,25982,11269,31929,25531,28283,27512,23102,24059,11174,30166,30555,29349,28910,22591,27318,12106,33146,27435,27193,21522,21293,23967,9234,30937,25438,25120,25551,22590,26110,10802,28980,28893,27420
2011-01-01,25798,21645,22847,9447,28471,25051,25029,24915,23360,27849,11208,30765,29046,29360,28102,21164,21787,9979,29879,25242,26850,25508,21519,22644,9893,27636,27273,25699,29505,23214,27787,12175,31258,29930,27945,27992,24689,25927,11221,31916,25408,28249,26982,23220,23279,11557,29202,32322,28922,28257,22357,27619,12361,33921,28041,27220,21337,22159,24199,9278,31012,25560,24422,24943,23030,25476,10853,28258,27881,27001
2011-02-01,24147,19474,21034,8507,25644,21949,22547,22074,21459,24860,10175,27792,26115,26662,24581,18894,19581,9028,26354,22667,23892,22574,20216,19895,8547,24310,25471,23163,26376,20916,24986,10823,27954,27360,25258,25258,22336,23282,10054,28879,22737,25412,24056,20909,20466,10687,25702,30495,25794,24823,19738,25143,11154,31351,25835,24731,19141,20640,22010,8461,28038,23319,21452,22115,21137,22612,9933,24832,24429,24028
2011-03-01,26946,21575,23462,9456,28362,23996,24861,24065,24432,27136,11446,30745,28600,29526,26782,20893,21760,10019,29095,25086,26186,24672,22810,21760,9389,26332,28747,25296,28436,23140,27173,11772,30533,30643,28120,27929,24897,25666,11069,32134,24747,27512,26485,23149,22200,11971,27935,34646,28437,27322,21691,28052,12523,35037,28834,27316,21219,23235,24596,9260,31075,25832,23447,24255,23617,24760,10943,27169,26463,26464
2011-04-01,26198,20770,22740,9178,27370,23098,24030,22706,24701,25853,11486,29813,27477,28752,25908,20214,21022,9844,27994,24029,25321,23877,21980,21054,8991,25373,27465,24547,26594,22575,25898,11095,28909,30272,27477,26928,24487,24644,10812,30990,23873,26137,25457,22497,21392,11652,26982,33610,27416,26494,20974,27206,12079,34060,27966,26423,20357,22539,23819,9093,30039,25085,22571,23464,22766,23894,10560,26336,25636,25693
2011-05-01,26657,21560,23317,9546,28339,24206,24947,23017,26210,26372,11966,30680,28125,29853,27328,20917,21740,10079,29482,24739,26464,25138,22349,22030,9623,26601,27791,25381,26786,23093,26344,11168,29291,31573,28585,27760,25346,25146,10976,32064,24500,26450,26594,23108,22623,11947,28281,34020,28593,27669,21955,28118,12417,34837,28704,27238,20878,22844,24430,9371,31035,25863,23853,24678,23368,25043,10931,27434,27159,26703
2011-06-01,25092,20954,22235,9146,27431,23913,24222,21871,25824,25327,11596,29642,26989,28933,27326,20316,21100,9617,29190,23762,26080,24882,20814,21917,9586,26434,25754,24765,25444,22376,25260,10647,28102,30878,27708,26700,24751,24397,10653,31112,23420,25310,26023,22372,22528,11156,28056,31608,28046,27580,21564,26884,11770,33116,27244,26160,20126,21413,23446,8943,29986,24832,23681,24197,22187,24699,10527,26976,27312,26064
2011-07-01,25072,21621,22534,9457,28307,25290,25249,22540,26775,26272,12052,30719,27881,30019,29336,21169,21828,9854,30938,24486,27553,26408,20512,23259,10353,28283,25363,25852,26256,23218,25955,11099,29015,32070,28601,27611,25668,25075,11182,32108,24246,26138,27216,23319,24149,11122,29818,31145,29432,29372,22668,27698,12191,33436,27636,26947,20630,21233,23918,9329,30878,25448,25267,25687,22590,26111,10694,28611,29380,27550
2011-08-01,24413,21611,22176,9241,28177,25701,25359,22723,26087,26445,11912,30574,27980,29787,30253,21232,21786,9748,31674,24268,28077,27133,19561,23973,10388,29065,24111,26009,26759,23133,26379,11127,29361,31815,28463,27717,25369,25342,11061,32274,24214,26323,27656,23274,24956,10761,30515,29633,29774,30203,23111,27412,11934,32816,27152,26726,20639,20461,23541,9104,30832,25352,25852,26326,22207,26739,10646,28914,30314,27747
2011-09-01,23290,20846,21329,8822,27428,25194,24569,22353,24707,25954,11448,29503,27326,28762,29745,20633,21174,9465,31069,23328,27514,26623,18366,23418,10293,28343,22764,25276,26728,22495,25873,11100,28969,30573,27439,27119,24360,24700,10866,31290,23413,25979,26930,22555,24530,10207,29895,28004,29084,29562,22539,26477,11522,31427,25952,25695,19942,19383,22604,8799,29739,24309,25488,25589,21312,26213,10338,28368,29974,27120
2011-10-01,24020,21594,22101,9229,28168,26038,25379,23567,24552,27232,11556,30364,28432,29547,30848,21302,21918,9655,32178,24069,28358,27547,19049,24077,10664,29367,23340,26104,28338,23140,27228,11833,30431,31326,28229,28209,24861,25720,11149,32263,24355,27302,27822,23184,25397,10564,30954,28921,30055,30674,23244,27469,12060,32487,26762,26664,20489,20032,23347,9103,30782,25177,26453,26562,22060,26820,10584,29206,30927,27997
2011-11-01,23693,20866,21607,8912,27257,24727,24588,23206,22983,26763,10901,29304,27713,28381,29373,20609,21289,9381,30715,23389,27223,26375,19029,23063,10191,27883,23041,25051,28398,22234,26756,11580,29982,29873,27134,27520,23940,25203,10800,31274,23560,26947,26750,22283,24184,10397,29351,28895,28966,29335,22183,26673,11579,31925,26240,25839,19804,19862,22822,8838,29771,24417,25099,25436,21461,25862,10275,27897,29470,26934
2011-12-01,25134,21462,22707,9192,28119,25056,25251,24056,23229,27738,11145,30233,28733,29360,29547,21246,21998,9811,31157,23995,27574,26533,20469,23296,10246,28096,24733,25719,29699,23124,27916,12171,31415,30848,27774,28552,24702,26156,11095,32511,24514,28057,27301,23108,24228,11060,29690,31236,29474,29695,22723,27754,11973,33617,27633,26643,20264,21358,23805,9113,30925,25427,25364,25875,22692,26115,10707,28243,29552,27523
2012-01-01,26138,21424,23134,9356,28226,24419,25017,24045,23231,27835,11182,30219,28826,29295,28594,21280,22026,9926,30463,23918,26979,25964,21369,22731,9783,26962,25966,25450,29791,23114,27756,12183,31412,30911,27966,28405,24514,26285,11147,32548,24470,28056,26715,23032,23348,11496,28678,32928,29147,28873,22223,28037,12248,34507,28265,26957,20393,22189,24142,9174,31032,25702,24471,25337,23214,25509,10793,27458,28429,27000
2012-02-01,25032,20122,21968,8806,26303,22311,23264,22228,22069,25781,10647,28345,26717,27368,25811,19771,20632,9486,27981,22242,24878,23638,20756,20704,8850,24525,25218,23599,27434,21569,25805,11393,29070,29100,26126,26573,22978,24422,10436,30415,22777,26027,24807,21579,21207,11137,26191,32103,26900,26481,20439,26345,11443,32986,26890,25208,18864,21451,22773,8624,29075,24185,22422,23159,22070,23396,10258,25197,25586,24968
2012-03-01,27222,21435,23564,9527,28018,23540,24794,23152,24259,27210,11525,30287,28311,29562,27137,21164,22001,10064,29558,23955,26321,24981,22669,21816,9390,25659,27574,25132,28542,23066,27175,11845,30531,31469,28095,28322,24844,26001,11115,32644,24152,27527,26380,22906,22250,12106,27370,35334,28429,28014,21605,28463,12383,35496,29067,27186,20070,23314,24382,9324,31194,25910,23463,24581,23695,24809,10937,26527,26806,26675
2012-04-01,26290,20773,22904,9175,27168,22660,23949,21958,24530,25927,11412,29397,27199,28715,26375,20447,21260,9744,28653,22974,25507,24296,22044,20994,9143,24854,26519,24260,26770,22529,25838,11138,28891,30958,27436,27331,24169,24863,10667,31568,23126,26019,25443,22197,21578,11630,26471,34077,27482,27008,20905,27459,12007,34513,28073,26062,19322,22651,23728,8982,30268,25153,22729,23651,22973,23932,10550,25703,25979,25798
2012-05-01,26760,21362,23453,9452,28020,23871,24975,22375,26037,26369,11916,30264,27857,29729,27746,21306,22070,10078,30050,23843,26520,25454,22205,22208,9640,26180,26743,25135,26984,22940,26336,11196,29368,32229,28535,28144,25204,25566,11081,32603,23657,26423,26474,22813,22663,11884,27789,34472,28732,28363,21764,28399,12216,35367,28763,26931,20014,22878,24258,9231,30968,25784,23888,24855,23506,25069,10804,26827,27392,26931
2012-06-01,25268,20719,22393,8997,27063,23548,24174,21246,25566,25386,11777,29251,26863,28954,27825,20745,21297,9673,29732,22962,26248,25256,20589,21885,9535,25955,24850,24592,25487,22400,25277,10728,28138,31399,27744,27141,24481,24643,10812,31450,22889,25285,25908,22239,22725,11248,27590,31974,28193,28130,21505,27261,11991,33553,27209,25897,19263,21522,23333,8887,30098,24786,23836,24583,22362,24777,10520,26372,27525,26366
2012-07-01,25268,21322,22730,9208,27929,25052,25204,21900,26301,26251,12159,30196,27648,29774,29686,21541,22113,9896,31459,23661,27757,26748,20331,23290,10206,27839,24478,25609,26468,22986,26065,11117,29114,32388,28580,28009,25158,25494,11060,32641,23636,26078,27276,22913,24329,11128,29432,31381,29498,29959,22517,28065,12060,34000,27697,26730,19982,21441,23825,9069,30939,25409,25500,25882,22823,26207,10561,27948,29554,27658
2012-08-01,24601,21325,22368,9143,27995,25504,25387,22175,25796,26373,12018,30161,27888,29679,30679,21607,22045,9906,32077,23641,28245,27427,19365,23988,10519,28578,23417,25757,26842,22973,26377,11328,29395,32295,28419,28160,24989,25580,11047,32748,23688,26388,27577,22892,25047,10674,30204,29985,29899,30659,22995,27877,11856,33343,27074,26426,19892,20763,23476,9017,30720,25215,26187,26491,22379,26674,10561,28389,30540,28023
2012-09-01,23412,20574,21467,8794,27089,25021,24687,21764,24282,25990,11410,29051,27238,28567,30070,21117,21394,9365,31509,22822,27604,26836,18355,23361,10339,28047,22177,25092,26804,22312,25937,11309,28854,30896,27420,27260,23883,25059,10782,31642,23123,25997,26938,22125,24704,10120,29475,28260,29227,30036,22337,26812,11474,31896,25928,25604,19297,19588,22530,8600,29737,24281,25642,25797,21600,26095,10162,27709,30085,27340
2012-10-01,24217,21245,22223,9032,27886,25842,25425,23051,24033,27249,11533,30054,28354,29440,31087,21689,22110,9867,32574,23692,28563,27830,18995,24253,10494,29043,22829,25821,28674,22814,27279,11822,30584,31577,28074,28520,24486,26078,11138,32836,24046,27434,27865,22675,25485,10637,30597,29207,30205,31161,23067,27822,11860,33034,26784,26437,19841,20259,23220,9033,30867,25150,26453,26894,22378,27094,10480,28655,31091,28089
2012-11-01,23766,20551,21814,8764,27018,24595,24596,22682,22473,26712,11137,28990,27712,28472,29491,21106,21407,9419,31059,22798,27178,26498,18808,23098,10125,27417,22795,24958,28347,22168,26738,11650,29960,30155,27012,27511,23357,25497,10823,31906,23516,26936,26644,22093,24273,10412,29092,29013,29074,29691,22134,26948,11529,32411,26320,25571,19219,20021,22729,8605,29857,24496,25299,25642,21833,25838,10194,27366,29585,27051
2012-12-01,25422,21102,22735,9185,27875,24806,25115,23646,22801,27824,11351,29898,28776,29235,29637,21782,22105,9887,31577,23698,27612,26735,20268,23305,10239,27567,24542,25517,29759,22889,27931,12275,31309,31046,27885,28780,24042,26424,11081,32832,24318,28056,27157,22622,24355,11157,29248,31543,29516,29928,22472,28039,12016,34111,27726,26595,19776,21573,23557,9002,31022,25484,25419,25963,23102,26139,10593,27733,29563,27683
2013-01-01,26180,20898,23258,9296,27929,24230,25024,23636,22674,27909,11167,29931,28715,29154,28637,21890,22197,9987,30882,23727,26994,26209,21270,22691,9870,26712,25707,25265,29885,22667,27909,12274,31461,30958,27649,28779,23898,26608,11039,32969,24321,27986,26877,22450,23606,11479,28450,33070,29328,29246,22133,28461,12156,34948,28240,26670,19744,22418,23980,8982,31158,25663,24651,25476,23358,25595,10706,27074,28342,27133
2013-02-01,24330,19113,21339,8408,25117,21461,22461,21160,20984,25008,10235,26988,25735,26300,25225,19624,19965,9125,27292,21378,23933,23041,19904,19892,8640,23481,24257,22664,26618,20492,24964,10842,28057,28217,25217,25861,21602,23789,10077,29745,21909,25144,23921,20357,20639,10632,25001,31174,26028,25846,19497,25859,11191,32145,25935,24080,17777,20997,21910,8224,28156,23421,21749,22523,21595,22791,9677,23930,24776,24391
2013-03-01,27347,21063,23762,9433,27861,23493,24777,22925,23864,27242,11578,29962,28300,29439,27390,21911,22211,10191,29968,23866,26295,25158,22659,21784,9485,25368,27383,24957,28653,22777,27121,12043,30531,31537,28064,28507,24232,26118,11122,32949,24107,27347,26273,22514,22398,12010,27151,35254,28485,28195,21466,28818,12370,35825,29073,26831,19574,23607,24431,9117,31223,25848,23638,24650,24160,24885,10923,26269,26803,26773
2013-04-01,26460,20277,23129,9022,26964,22754,23912,21659,23857,26116,11509,29027,27217,28506,26432,21223,21660,9896,29065,23128,25412,24283,21822,21048,9056,24661,26558,24131,26849,22067,25874,11114,29064,30798,27390,27507,23416,25222,10749,31814,23290,26002,25383,21526,21730,11782,26302,34124,27723,27380,20741,27923,11861,34718,28190,25908,19219,22921,23608,8845,30294,25077,22823,23825,23311,24069,10451,25315,25919,25846
2013-05-01,26929,20976,23675,9338,27861,23826,24809,22105,25469,26506,12049,29910,27765,29632,27835,22037,22377,10140,30292,23952,26530,25509,22051,22204,9532,25783,26849,24917,26925,22638,26374,11279,29437,32252,28332,28163,24511,25772,11069,32803,23827,26475,26418,22287,22940,11896,27512,34504,28816,28680,21582,28758,12267,35647,28797,26737,19592,23324,24194,9176,31183,25862,24022,24910,23850,25138,10745,26545,27323,26979
2013-06-01,25356,20244,22607,8919,26973,23662,24185,21041,25006,25405,11854,29031,26831,28823,27755,21518,21628,9785,30033,23182,26277,25259,20515,21882,9627,25695,25033,24331,25721,21869,25131,10963,28067,31407,27581,27162,23665,24907,10794,31698,23016,25306,25881,21533,22823,11182,27477,31942,28221,28440,21279,27639,11801,33739,27276,25633,18972,21814,23161,8805,30021,24908,23906,24473,22972,24788,10325,26096,27384,26247
2013-07-01,25288,20983,22883,9134,27869,25028,25180,21848,25746,26370,12183,29969,27754,29703,29781,22324,22392,9944,31733,23884,27652,26757,20166,23315,10123,27613,24818,25390,26467,22589,26163,11146,29143,32292,28351,28093,24332,25683,11148,32841,23838,26113,27264,22102,24422,11134,29197,31350,29663,30081,22379,28420,11955,34267,27582,26261,19746,21748,23475,8934,30877,25405,25530,26047,23333,26326,10526,27598,29428,27682
2013-08-01,24618,20871,22602,8976,27822,25617,25263,21977,25333,26480,12139,29873,27928,29775,30662,22448,22371,9911,32374,23994,28201,27391,19312,23889,10612,28362,23725,25577,26880,22568,26275,11500,29314,32097,28412,28130,24105,25912,11120,32901,23917,26259,27561,22170,25269,10819,29888,29889,30108,30831,22726,28186,11871,33425,27072,26179,19627,21053,23350,8731,30887,25275,26191,26452,22789,26756,10553,28185,30343,28140
2013-09-01,23406,19975,21580,8743,26945,25120,24520,21617,23743,25916,11522,28853,27316,28572,30216,21780,21661,9533,31667,23168,27584,26920,18145,23447,10350,27859,22421,24804,26857,21758,25929,11190,28919,30769,27396,27487,23202,25429,10618,31923,23361,25846,26886,21459,24800,10085,29401,27976,29299,30144,22172,27293,11377,31998,25856,25209,19069,19856,22437,8562,29757,24368,25807,25963,21992,26276,10150,27585,30066,27388
2013-10-01,24122,20796,22408,9067,27842,25977,25421,22882,23443,27429,11598,29823,28464,29372,31219,22448,22451,9858,32810,23944,28439,27832,18677,24237,10690,28808,23269,25649,28691,22428,27293,11948,30598,31306,28002,28562,23665,26443,11069,33126,24232,27451,27760,21928,25748,10507,30398,28928,30242,31180,22987,28301,11850,33196,26674,26131,19680,20455,23195,8850,30771,25169,26556,26844,22740,27012,10393,28482,30972,28246
2013-11-01,23769,19984,22011,8619,26920,24849,24431,22541,21926,26737,11226,28798,27725,28336,29747,21974,21754,9617,31394,23368,27341,26531,18526,23149,10126,27460,23244,24556,28407,21876,26814,11762,30072,29932,26923,27650,22538,25870,10739,32013,23769,26782,26604,21301,24482,10504,28889,28814,29108,29758,21992,27403,11518,32510,26186,25324,19103,20372,22512,8606,29860,24421,25378,25713,22276,25933,10136,27184,29441,27239
2013-12-01,25319,20638,23048,9007,27853,25127,25230,23517,22181,27935,11328,29824,28861,29117,29814,22636,22602,10057,31743,24144,27642,26806,19948,23327,10232,27455,25000,25290,29850,22476,27910,12462,31476,30624,27750,28752,23102,26866,11138,33101,24587,28044,27240,21818,24616,11070,29232,31168,29754,30054,22278,28675,11976,34160,27607,26288,19694,21853,23533,8900,31094,25473,25548,26115,23416,26344,10556,27592,29466,27804
2014-01-01,26219,20512,23454,9239,27871,24556,24966,23581,22166,28001,11222,29832,28789,29062,28825,22622,22637,10083,30991,24361,27087,26059,21059,22677,9791,26501,26343,25012,29951,22502,28028,12369,31531,30601,27860,28727,23155,26746,11147,33200,24678,27972,26806,21775,23723,11460,28291,32844,29178,29292,21762,28908,12080,35022,28231,26423,19705,22698,23762,8913,30959,25608,24769,25382,23825,25679,10697,26929,28243,27321
2014-02-01,24235,18443,21466,8358,25180,21759,22361,20975,20293,25184,10423,26833,25899,26435,25165,20455,20381,9247,27451,22032,24072,23076,19727,20112,8721,23346,24796,22367,26615,20214,24911,11027,28033,27803,25089,25852,20929,24103,10051,29910,22239,25070,23879,19577,20817,10696,24913,30808,26116,25863,19446,26368,11069,32097,25900,23954,17720,21199,21712,8156,28077,23281,21807,22498,21872,22729,9638,23808,24606,24477
2014-03-01,27314,20446,24100,9305,27883,23760,24834,22875,23302,27431,11659,29868,28689,29373,27319,22672,22611,10266,30031,24450,26393,25240,22261,21842,9473,25296,28086,24683,28649,22381,27229,11999,30486,31099,28071,28503,23266,26559,11046,32981,24565,27277,26213,21655,22652,12039,27020,34886,28673,28170,21263,29229,12353,35979,28907,26556,19656,23967,24316,9032,31161,26004,23725,24728,24612,24994,10865,26098,26663,26875
2014-04-01,26437,19791,23293,9000,26958,23053,23909,21736,23237,26160,11540,28895,27356,28445,26428,22050,21810,9869,29105,23652,25523,24387,21651,21161,9079,24591,27226,23835,26874,21546,25938,11307,28944,30400,27183,27367,22654,25514,10635,31964,23690,25806,25342,20949,21978,11608,26120,33810,27779,27318,20466,28491,11883,34866,28094,25693,19035,23256,23455,8702,30190,25085,22924,23972,23695,24222,10373,25228,25779,25907
2014-05-01,26902,20559,23939,9328,27867,24109,24816,22084,24776,26592,12185,29887,28086,29656,27844,22911,22672,10166,30347,24601,26550,25501,21819,22040,9598,25730,27617,24795,26977,22178,26349,11507,29434,31838,28440,28210,23498,26256,11079,32941,24348,26259,26485,21506,23067,11813,27536,33998,28892,28709,21313,29282,12194,35578,28739,26464,19778,23541,24095,9029,31158,25870,24173,24906,24405,25159,10692,26441,27162,27105
2014-06-01,25404,19660,22792,8794,27052,23971,24084,21000,24410,25599,11936,28899,27048,28746,27814,22304,22013,9780,30031,23856,26226,25225,20290,21906,9616,25750,25839,24176,25653,21582,25202,10911,28226,30882,27631,27231,22760,25229,10532,31843,23666,25072,25926,20737,23029,11153,27316,31566,28414,28356,21018,28179,11741,33851,27220,25504,19142,22196,23009,8578,30047,24771,23944,24626,23315,24905,10308,26111,27184,26601
2014-07-01,25407,20401,23167,8886,27798,25397,25129,21837,25040,26420,12214,29970,27981,29573,29632,23091,22622,9954,31678,24733,27728,26855,20028,23438,10295,27526,25556,25267,26615,22221,26165,11279,29217,31814,28442,28045,23435,26093,10951,32908,24414,26125,27147,21440,24663,11057,29153,30841,29783,29989,22161,28965,11834,34281,27586,26170,19803,22140,23459,8916,31031,25412,25535,26077,23627,26322,10575,27553,29142,27825
2014-08-01,24611,20395,22983,8962,27853,25978,25238,22003,24782,26599,12215,29874,28078,29632,30620,23288,22717,9979,32427,24875,28230,27487,18977,23880,10560,28263,24713,25549,26978,22177,26214,11546,29371,31546,28394,28242,23409,26169,11028,32825,24464,26293,27472,21354,25434,10774,29910,29379,30152,30693,22490,28624,11904,33470,27021,25975,19791,21373,23133,8733,30831,25255,26216,26479,23380,26795,10459,28144,30113,28241
2014-09-01,23431,19687,21926,8586,26978,25533,24547,21773,23172,26128,11604,28904,27535,28548,30284,22584,21974,9680,31660,24022,27628,26806,17849,23495,10297,27897,23406,24635,26827,21391,25923,11324,28958,30018,27282,27443,22327,25628,10639,31841,24064,25858,26882,20664,25045,10304,29541,27609,29274,30162,21938,27750,11270,32099,25813,25099,19036,20331,22140,8406,29767,24436,25873,25926,22412,26198,10127,27604,29741,27594
2014-10-01,24325,20231,22697,8951,27936,26301,25357,23073,22819,27434,11655,29773,28654,29221,31129,23490,22720,9869,32794,24979,28546,27875,18372,24183,10643,28768,24237,25452,28649,22038,27229,11971,30595,30621,27982,28447,22797,26933,11062,33009,24999,27286,27640,21199,25861,10555,30401,28405,30335,31133,22669,28709,11724,33133,26647,25935,19885,20878,23003,8682,30785,25250,26640,26802,23316,27210,10337,28540,30649,28464
2014-11-01,23718,19475,22139,8592,26923,25278,24408,22513,21285,26867,11152,28917,28013,28268,29696,22799,22016,9612,31301,24139,27253,26496,18325,23159,10188,27442,24115,24560,28465,21390,26670,11975,30007,29287,26846,27644,21741,26028,10653,31803,24403,26831,26607,20622,24622,10349,29045,28316,29097,29814,21674,27882,11422,32426,26054,25144,19123,20722,22378,8425,29720,24370,25504,25663,22708,26043,10166,27219,29074,27299
