Date,0_0,0_1,0_2,0_3,0_4,0_5,0_6,1_0,1_1,1_2,1_3,1_4,1_5,1_6,2_0,2_1,2_2,2_3,2_4,2_5,2_6,3_0,3_1,3_2,3_3,3_4,3_5,3_6,4_0,4_1,4_2,4_3,4_4,4_5,4_6,5_0,5_1,5_2,5_3,5_4,5_5,5_6,6_0,6_1,6_2,6_3,6_4,6_5,6_6,7_0,7_1,7_2,7_3,7_4,7_5,7_6,8_0,8_1,8_2,8_3,8_4,8_5,8_6,9_0,9_1,9_2,9_3,9_4,9_5,9_6
2014-12-01,25223,20084,23156,8942,27915,25576,25206,23702,21574,28127,11383,29899,29030,28971,29728,23503,22837,10060,31651,25235,27735,26814,19740,23441,10272,27537,26115,25081,29914,22047,27906,12419,31499,29903,27770,28656,22229,27137,11089,33102,25437,27970,27228,21037,24705,11025,29242,30603,29697,29971,22002,29171,11935,34240,27487,25960,19824,22196,23352,8799,30981,25456,25643,26021,23820,26443,10441,27710,29052,27841
2015-01-01,26171,20023,23720,9162,27806,25026,24905,23578,21550,28003,11431,29817,29100,28998,28716,23533,22773,10142,30833,25255,27184,26214,20789,22744,9847,26715,27389,24834,29817,21941,27912,12521,31396,29952,27725,28665,22265,27089,11034,33006,25544,27975,26746,21123,23965,11542,28486,32248,29305,29237,21633,29354,12133,34878,28003,26222,19745,23179,23627,8811,31066,25546,24925,25393,24288,25718,10554,27114,27972,27513
2015-02-01,24333,17971,21769,8254,25253,22087,22434,21165,19722,25055,10371,27047,26233,26381,25062,21232,20575,9222,27458,22971,23994,23137,19527,19982,8738,23379,25789,22246,26576,19808,25046,11049,28096,27114,25116,25826,20060,24468,10004,29780,22938,25038,23867,19103,21026,10718,24940,30359,26073,25799,19215,26781,11003,32049,25716,23739,17890,21623,21639,7987,28106,23270,21878,22582,22345,22717,9721,23907,24199,24569
2015-03-01,27383,19966,24299,9165,27960,24197,24675,22952,22449,27478,11721,30027,28881,29356,27356,23584,22925,10186,29967,25556,26350,25085,22115,21863,9365,25477,29147,24465,28641,21924,27260,12025,30537,30268,27897,28482,22310,26991,10923,32976,25324,27324,26264,20918,22755,12032,27183,34237,28718,28201,20970,29812,12226,35938,28836,26434,19812,24370,24014,8930,31185,25983,23762,24677,24914,25044,10765,26252,26342,26922
2015-04-01,26450,19316,23458,8947,26948,23508,23800,21800,22622,26237,11676,29076,27649,28417,26465,22916,22286,9878,28844,24840,25443,24423,21466,21191,9084,24729,28432,23774,26958,21182,25911,11296,29016,29642,27190,27398,21921,25918,10728,31721,24468,25912,25410,20129,22127,11657,26307,33223,27871,27257,20280,28886,11784,34722,27961,25528,19141,23613,23265,8606,30169,25019,22960,23903,24160,24232,10422,25405,25453,26063
2015-05-01,26795,19850,24108,9152,28038,24576,24715,22092,24081,26584,12330,30112,28399,29642,27861,23705,23026,10290,30267,25717,26597,25421,21663,22139,9575,25879,28921,24676,26891,21887,26269,11572,29282,30954,28385,28175,22790,26556,10980,32656,25199,26301,26369,20862,23280,11983,27635,33449,28851,28429,21119,29760,12166,35434,28455,26288,19840,23864,23981,8854,31155,25763,24076,24821,24882,25375,10706,26578,26897,27258
2015-06-01,25344,19326,22986,8791,27034,24389,24112,21218,23762,25677,11911,29177,27402,28672,27770,23122,22179,9773,29813,24994,26286,25271,20052,22049,9577,25902,27021,24030,25663,21049,25379,10905,28162,29991,27602,27238,21956,25666,10631,31636,24415,25167,25981,20157,23396,11031,27531,30924,28389,28186,20868,28717,11571,33746,27153,25351,19183,22539,22880,8501,30093,24829,24063,24613,23687,24923,10267,26430,26855,26579
2015-07-01,25364,19884,23447,8857,28020,25891,25209,21909,24440,26426,12473,30164,28360,29685,29675,23928,23015,10165,31605,25900,27775,26923,19589,23489,10244,27689,26940,25034,26476,21864,26184,11363,29086,31004,28375,27963,22545,26483,10929,32639,25208,25994,27166,20698,24843,11105,29359,30233,29769,29997,21779,29440,11924,34065,27409,26084,19871,22394,23326,8726,30925,25434,25661,26037,24191,26366,10518,27815,28799,27963
2015-08-01,24595,19737,23012,8734,27981,26448,25194,22100,24010,26718,12352,30109,28383,29637,30709,24138,23212,10032,32121,26114,28316,27339,18809,23876,10576,28479,25780,25243,26829,21876,26305,11620,29420,30781,28351,28068,22637,26620,11042,32681,25494,26265,27567,20872,25601,10872,30110,28825,30227,30679,22243,29281,11797,33302,26855,25892,19926,21730,23060,8643,30748,25176,26452,26532,23813,26902,10413,28487,29931,28228
2015-09-01,23403,19171,22165,8571,27161,25986,24496,21892,22466,26222,11621,29168,27800,28399,30166,23393,22433,9576,31514,25137,27694,26821,17651,23474,10322,28124,24613,24501,26802,21084,25928,11389,29078,29315,27195,27309,21550,25948,10689,31646,24826,25886,26963,20022,25234,10203,29674,27046,29407,30075,21741,28250,11200,31935,25678,24950,19189,20476,22074,8259,29781,24365,25896,25908,22795,26340,10011,27754,29278,27550
2015-10-01,24063,19794,22884,8796,27955,26950,25427,23018,22431,27497,11840,30233,28973,29338,31152,24273,23186,9905,32408,26310,28617,27788,18229,24310,10661,29015,25495,25350,28583,21804,27261,12196,30512,29838,27979,28482,22005,27246,11027,32725,25822,27254,27709,20620,26107,10578,30643,27811,30482,31049,22416,29213,11678,32810,26500,25810,19945,21272,22843,8564,30764,25073,26731,26742,23653,27263,10300,28781,30359,28456
2015-11-01,23718,19030,22385,8588,27148,25774,24461,22716,20812,26985,11225,29145,28358,28120,29544,23398,22360,9636,31031,25359,27281,26462,18232,23141,10198,27698,25303,24429,28418,21013,26715,11981,30089,28409,26838,27664,21012,26510,10698,31604,25194,26780,26664,19916,24871,10452,29299,27699,29144,29633,21523,28353,11370,32168,25967,24908,19212,20957,22178,8420,29826,24435,25591,25591,23153,26064,10015,27588,28743,27467
2015-12-01,25267,19736,23485,8888,28010,26139,25074,23773,21050,28101,11404,30186,29410,29009,29607,24259,23316,10168,31369,26402,27795,26708,19584,23425,10222,27873,27501,24978,29899,21700,28035,12444,31464,29080,27587,28698,21604,27580,11045,32818,26204,27902,27186,20484,25014,11109,29578,29982,29877,30057,21850,29643,11941,33865,27437,25939,19893,22513,23264,8622,30981,25371,25686,26002,24191,26499,10391,28143,28695,27924
2016-01-01,26121,19647,23951,8973,28086,25584,24871,23606,21084,28186,11538,30181,29351,28908,28596,24182,23326,10137,30492,26574,27210,26049,20728,22666,9936,26863,28725,24867,29799,21697,27839,12616,31271,29060,27723,28621,21604,27558,10931,32681,26241,27868,26692,20619,24051,11457,28734,31631,29385,29178,21411,30009,12072,34560,28044,26072,19910,23379,23529,8827,31077,25641,24819,25368,24735,25800,10524,27426,27555,27539
2016-02-01,25103,18397,22644,8556,26326,23567,23122,21941,19967,26185,10793,28257,27448,27200,25936,22568,21656,9624,28026,24938,24846,23937,20175,20699,8943,24586,27926,22828,27465,20222,25946,11595,29139,27345,25981,26749,20135,25802,10300,30570,24549,25866,24761,19213,21901,11094,26119,30725,27187,26593,19717,28258,11308,33023,26565,24497,18604,22572,22212,8167,29139,24212,22574,23391,23507,23674,9883,25177,24884,25399
2016-03-01,27295,19636,24593,9099,28165,24711,24646,23009,22031,27560,11818,30359,29041,29167,27403,24116,23269,10390,29438,26693,26335,25148,21990,21889,9513,25821,30493,24473,28676,21500,27252,12106,30629,29366,27836,28510,21789,27399,10932,32487,26128,27300,26176,20377,23099,11952,27578,33704,28894,27974,20838,30408,12132,35684,28711,26310,19861,24569,23915,8694,31186,25970,23843,24663,25194,25041,10753,26660,25810,26948
2016-04-01,26405,18868,23749,8815,27171,24054,23909,21775,22305,26264,11806,29372,27968,28427,26382,23409,22676,10092,28522,26065,25452,24322,21226,21092,9235,25015,29675,23640,26851,21064,25926,11495,28956,28877,27294,27444,21326,26192,10609,31324,25269,25852,25479,19891,22291,11642,26735,32574,27785,27130,20273,29334,11798,34311,27803,25386,19185,23721,23174,8587,30062,25072,23110,23787,24599,24271,10334,25940,25115,26189
2016-05-01,26872,19629,24392,9064,28175,25220,24807,22090,23808,26731,12223,30547,28683,29539,27783,24312,23336,10231,29644,26938,26702,25453,21480,22175,9623,26399,30118,24605,26963,21611,26310,11599,29229,30125,28230,28113,22160,26983,10905,32461,25946,26172,26509,20398,23559,11824,28021,32823,28970,28593,21123,30264,12073,34987,28332,26222,19745,24174,23705,8843,31184,25763,24274,24925,25065,25481,10714,27008,26467,27395
2016-06-01,25343,18924,23301,8561,27284,24895,24100,21139,23290,25658,12039,29542,27625,28575,27831,23575,22691,9911,29341,26164,26348,25217,19912,21994,9566,26378,28232,23951,25615,20964,25301,11065,28114,29144,27467,27216,21562,26057,10528,31191,25149,25129,25946,19744,23441,11081,27886,30255,28543,28253,20684,29217,11551,33346,26864,25116,19207,22584,22614,8504,29979,24685,24142,24592,24009,25115,10154,26836,26474,26726
2016-07-01,25316,19596,23581,8900,28242,26466,25051,21807,24212,26579,12512,30552,28623,29646,29728,24462,23416,10082,31202,27082,27835,26786,19582,23320,10199,28160,28091,24919,26397,21695,26048,11637,29044,30118,28416,27989,22265,26888,10947,32159,26102,25951,27083,20533,25117,11176,29804,29676,29827,30027,21809,29819,11771,33505,27333,25825,19792,22530,23135,8697,30978,25558,25740,25982,24427,26433,10493,28341,28623,28037
2016-08-01,24617,19538,23251,8757,28258,27053,25312,22155,23614,26923,12324,30656,28815,29533,30683,24535,23429,10045,31632,27135,28340,27481,18649,24010,10500,29102,27168,25218,26996,21597,26310,11587,29351,29805,28200,28024,22107,27100,10938,32220,26339,26221,27598,20283,25930,10693,30633,28052,30139,30619,22249,29833,11756,32865,26775,25749,19788,21753,22766,8559,30705,25357,26432,26505,24118,27108,10262,29105,29509,28350
2016-09-01,23380,18911,22409,8476,27372,26515,24449,21717,22058,26431,11676,29560,28062,28485,30207,23777,22806,9654,30849,26414,27609,26831,17633,23539,10435,28500,25733,24398,26895,20959,25997,11456,28884,28372,27332,27379,21165,26325,10598,31050,25721,25825,26944,19717,25423,10155,29950,26341,29482,30156,21718,28717,11250,31356,25454,24797,19055,20663,21885,8323,29722,24412,26027,25905,23061,26373,10062,28363,29104,27659
2016-10-01,24182,19612,23183,8860,28278,27449,25294,22937,22122,27707,11949,30634,29278,29249,31124,24523,23416,9986,31843,27247,28544,27795,18217,24366,10683,29431,26762,25337,28542,21672,27254,12079,30470,29044,27902,28500,21630,27537,11083,32187,26761,27239,27773,20421,26414,10535,30987,27294,30455,31046,22414,29763,11672,32210,26350,25638,19701,21486,22601,8481,30736,25104,26807,26717,23750,27314,10380,29481,30014,28623
2016-11-01,23874,18934,22575,8526,27377,26254,24374,22620,20609,27133,11240,29642,28558,28026,29683,23727,22744,9787,30393,26603,27257,26605,18070,23224,10232,28134,26529,24263,28455,20746,26898,11964,30127,27521,26851,27718,20704,26955,10614,31156,25998,26670,26561,19645,25069,10362,29655,27176,29231,29699,21478,29027,11295,31807,25914,24830,19168,21153,21921,8317,29782,24440,25632,25675,23278,26183,9999,28224,28402,27489
2016-12-01,25379,19566,23764,8849,28344,26594,25126,23588,20860,28183,11595,30487,29751,28954,29707,24560,23632,10012,30777,27661,27808,26785,19613,23446,10258,28364,28594,24915,29797,21621,27940,12688,31336,28390,27633,28795,21279,27939,10865,32154,27029,27921,27088,20318,25161,11096,29926,29489,29843,29992,21754,30188,11797,33324,27216,25901,19711,22563,22965,8480,30830,25432,25754,26088,24431,26621,10444,28692,28453,28078
2017-01-01,26172,19581,24273,9025,28446,25955,24967,23573,20695,28347,11561,30766,29718,28938,28909,24391,23649,10316,29921,27632,27252,26167,20513,22808,9834,27477,29927,24652,29941,21581,27955,12660,31390,28140,27599,28744,21410,28038,11000,32073,27053,27821,26720,20314,24420,11494,29094,30967,29368,29378,21433,30439,11954,33986,27770,25912,19580,23472,23316,8626,30940,25567,24883,25444,24842,25958,10514,28029,27258,27627
2017-02-01,24310,17599,22192,8091,25702,23024,22311,21015,19222,25333,10588,27817,26799,26363,25212,21903,21337,9342,26441,25066,24136,23130,19149,20058,8661,24229,28037,22083,26602,19491,25037,11252,28101,25617,25145,25922,19309,25251,9921,28876,24402,24978,23851,18384,21504,10780,25692,29230,26211,25926,19005,27765,10943,31165,25434,23587,17664,21975,21359,7888,28106,23284,21998,22561,22786,23011,9568,24897,23739,24705
2017-03-01,27340,19522,24810,9015,28442,25214,24622,22806,22056,27671,11846,30925,29337,29083,27387,24282,23679,10361,28957,27865,26381,25237,21931,22008,9460,26471,31621,24357,28613,21478,27354,12221,30536,28632,27770,28642,21583,27832,10951,31914,26866,27129,26271,20348,23261,11965,28063,33122,28898,28324,20790,30980,12077,34894,28636,26128,19624,24674,23621,8656,31160,25878,23914,24777,25222,25085,10639,27382,25659,27080
2017-04-01,26449,18956,23985,8751,27422,24549,23875,21406,22211,26247,11866,29836,28265,28454,26471,23583,22885,9895,27769,27134,25631,24391,21302,21211,9180,25582,30782,23560,26881,20908,25907,11592,28833,28245,27206,27528,21263,26664,10555,30626,26030,25787,25369,19744,22596,11781,27168,31996,27878,27388,19995,29919,11749,33752,27697,25299,18895,23867,23040,8469,30182,25048,23144,23916,24592,24251,10300,26506,24781,26211
2017-05-01,26915,19559,24615,8860,28470,25712,24782,21837,23715,27104,12369,31174,28964,29483,27980,24235,23706,10340,29162,28011,26683,25674,21466,22246,9694,26921,31238,24467,27018,21560,26483,11667,29388,29285,28256,28237,22030,27441,10904,31729,26674,26200,26327,20363,23913,11709,28643,32342,29035,28776,20890,30870,12146,34520,28264,25973,19430,24248,23523,8730,31012,25830,24337,24964,25090,25404,10560,27793,26040,27324
2017-06-01,25427,18998,23396,8548,27564,25374,24026,20806,23353,25817,12035,30200,27839,28610,27937,23600,22996,9906,28723,27149,26361,25382,19995,22035,9564,26940,29269,23908,25764,20937,25252,11116,28045,28550,27416,27325,21546,26430,10483,30556,25934,25051,25886,19703,23759,11199,28481,29853,28540,28486,20622,29757,11541,32696,26918,25024,18769,22719,22413,8262,29851,24831,24066,24705,23951,25117,10092,27527,26271,26791
2017-07-01,25393,19563,23855,8741,28581,26810,25050,21469,24334,26736,12554,31238,28895,29602,29864,24376,23810,10171,30329,28014,27788,26928,19697,23485,10241,28797,29074,24903,26504,21676,26178,11596,28988,29515,28442,28235,22299,27387,10959,31412,26837,25959,27083,20488,25401,11131,30318,29142,29930,30313,21895,30614,11746,32885,27043,25731,19365,22478,22901,8540,30854,25420,25666,26146,24411,26513,10354,29227,28142,28003
2017-08-01,24703,19615,23522,8636,28648,27409,25216,21689,23780,26866,12345,31200,29046,29501,30860,24363,23773,10046,30826,28114,28242,27592,18710,24013,10479,29533,28063,25119,27033,21637,26435,11571,29394,29263,28193,28377,22244,27598,10866,31519,26898,26242,27511,20363,26118,10657,31134,27682,30235,31016,22229,30473,11620,32227,26685,25688,19360,21783,22678,8405,30719,25205,26552,26729,23974,27053,10262,29761,29145,28355
2017-09-01,23436,19018,22588,8401,27762,26827,24536,21236,22316,26516,11849,30284,28323,28442,30449,23598,23144,9777,30223,27257,27664,27074,17728,23598,10367,29231,26717,24310,26968,21020,25929,11615,28838,27999,27194,27574,21287,26850,10578,30267,26148,25741,26787,19903,25709,10187,30550,25876,29396,30516,21707,29400,11243,30761,25374,24738,18723,20652,21882,8234,29774,24356,25941,26122,23082,26505,9928,29229,28812,27759
2017-10-01,24256,19633,23369,8613,28686,27727,25336,22412,22259,27675,12007,31328,29533,29230,31475,24364,23847,9995,31017,28160,28586,28055,18265,24419,10765,30229,27650,25170,28796,21627,27293,12237,30454,28363,27866,28736,21817,28036,10938,31388,27304,27252,27791,20587,26608,10603,31748,26834,30496,31633,22453,30538,11587,31747,26186,25525,19147,21282,22495,8403,30706,25220,26784,27038,23704,27407,10272,30404,29729,28646
2017-11-01,23985,19039,22871,8434,27779,26584,24361,22067,20616,27211,11420,30275,28798,28030,29909,23510,23160,9834,29735,27322,27423,26878,18156,23213,10200,28871,27346,24311,28643,21039,26897,12174,29985,27012,26822,27912,20981,27332,10651,30350,26583,26796,26603,19997,25444,10434,30278,26765,29242,30333,21482,29553,11247,30864,25635,24748,18505,21025,21939,8185,29676,24471,25597,25878,23145,26225,9892,29046,28174,27456
2017-12-01,25446,19790,23989,8700,28791,26870,25051,23064,21136,28386,11646,31292,30013,29013,30002,24147,24018,10218,30014,28321,27808,27138,19750,23398,10279,29179,29298,24887,29892,21836,27922,12778,31172,27884,27711,28912,21819,28411,10983,31364,27602,27867,26993,20728,25518,11072,30579,28963,29924,30523,21765,30727,11833,32554,27203,25677,18951,22509,22792,8514,30800,25387,25756,26173,24169,26592,10376,29598,28128,28102
2018-01-01,26329,19797,24476,8826,28842,26368,24888,22922,21052,28386,11546,31495,29943,28797,29154,24027,24013,10306,29101,28382,27242,26481,20735,22855,9915,28304,30593,24559,29964,21719,28036,12686,31341,27643,27571,29015,21710,28409,11008,31190,27661,27862,26751,20583,24719,11436,29790,30582,29534,29789,21471,31144,11935,33379,27679,25785,18825,23303,23101,8522,30843,25621,24932,25745,24538,26051,10405,29107,26999,27640
2018-02-01,24393,17827,22353,8082,26093,23303,22338,20474,19493,25444,10567,28491,26869,26210,25542,21536,21735,9379,25596,25724,24096,23463,19532,20027,8714,24869,28584,22072,26715,19715,25097,11405,28031,25297,25049,26192,19775,25561,9958,28091,24788,24915,23798,18748,21710,10778,26342,28844,26293,26319,19069,28333,10803,30531,25518,23526,16963,21681,21251,7789,28037,23216,21883,22811,22536,23045,9530,25808,23470,24703
2018-03-01,27493,19824,25033,8962,28949,25580,24652,22188,22486,27689,11984,31608,29541,29194,27812,23717,24150,10372,27905,28483,26392,25597,22082,22004,9426,27188,32304,24210,28746,21862,27293,12381,30452,28259,27913,28991,22174,28195,10922,31016,27334,27126,25943,20823,23601,12022,28741,32788,29008,28900,20906,31582,12143,34094,28422,26007,18668,24314,23513,8650,31158,25911,23934,24973,25065,25368,10579,28386,25464,27132
2018-04-01,26669,19188,24265,8635,28092,24660,23944,20869,22683,26484,11810,30698,28351,28339,26878,22861,23347,10012,27035,27580,25579,24813,21381,21157,9100,26374,31352,23558,26989,21135,25949,11648,28855,27825,27191,27865,21769,27047,10605,29828,26450,25711,25116,20284,22811,11807,27896,31738,27977,28102,20216,30654,11722,32972,27599,25139,18059,23624,22780,8309,30027,25063,23223,24240,24229,24481,10236,27590,24527,26210
2018-05-01,27103,19975,24935,8833,28993,25767,24792,20959,24184,27077,12410,31857,29132,29341,28343,23434,24189,10398,28184,28473,26667,26026,21516,22383,9575,27939,31840,24378,27256,21833,26516,11792,29242,28883,28178,28701,22746,27745,10950,30834,27041,26218,26258,20814,24130,11840,29379,31982,29062,29282,21239,31604,11941,33589,28175,26013,18466,24027,23326,8633,31019,25708,24369,25447,24767,25576,10537,28917,25994,27307
2018-06-01,25507,19322,23644,8466,28110,25510,24098,20021,23911,25903,12140,30946,28097,28643,28419,22778,23479,9994,27724,27539,26387,25759,20150,22100,9622,27636,29741,23763,25743,21204,25315,11258,27944,28362,27431,27762,22293,26746,10639,29597,26186,25125,25534,20442,23920,11157,29173,29552,28507,29182,20883,30342,11468,31777,26834,25006,17763,22379,22393,8299,29887,24782,24232,25051,23586,25261,10160,28690,26052,26779
2018-07-01,25527,20142,24167,8596,29134,27000,25030,20601,24859,26888,12673,32017,28991,29595,30404,23606,24328,10157,29273,28406,27804,27456,19837,23440,10136,29590,29480,24884,26764,21997,26125,11608,28907,29239,28287,28638,23231,27871,10926,30552,27026,25978,27036,21158,25562,11075,31125,28857,29885,31011,22027,31256,11771,32036,27070,25700,18200,22291,22703,8377,30889,25454,25724,26542,23903,26674,10366,30292,28026,28088
2018-08-01,24890,20193,23897,8606,29080,27479,25250,20784,24491,27004,12521,32080,29160,29394,31273,23569,24355,10139,29869,28370,28354,28005,18883,24087,10542,30493,28399,25009,27301,22129,26434,11765,29182,28952,28261,28889,23134,27912,10927,30469,27054,26271,27377,21132,26378,10622,31946,27432,30196,31751,22509,31162,11643,31370,26534,25618,18130,21331,22483,8351,30747,25203,26463,27108,23488,27165,10304,30922,29103,28577
2018-09-01,23671,19663,22954,8299,28316,26947,24508,20431,23102,26606,11902,31095,28406,28382,30867,22785,23568,9814,29178,27538,27824,27517,17862,23602,10431,30076,27103,24413,27197,21510,25967,11667,28745,27806,27180,28099,22241,27332,10478,29397,26333,25729,26569,20802,25966,10232,31345,25705,29520,31307,22016,29953,11181,29863,25461,24749,17398,20190,21522,8047,29668,24329,26011,26432,22511,26610,9828,30408,28762,27759
2018-10-01,24567,20349,23729,8325,29131,27735,25236,21469,22926,27917,11970,32124,29545,29067,31997,23287,24395,10081,30136,28421,28537,28505,18483,24400,10713,31169,27857,25137,28920,22151,27233,12260,30447,28205,27784,29233,22840,28552,10948,30514,27402,27089,27605,21411,27053,10539,32495,26658,30523,32401,22702,31082,11430,30820,26354,25494,17984,20860,22296,8245,30648,25111,26862,27318,23161,27591,10176,31497,29610,28688
2018-11-01,24062,19614,23156,8290,28332,26682,24418,21030,21606,27416,11342,31229,28876,28092,30558,22435,23583,9830,28679,27483,27392,27332,18468,23303,10205,29862,27548,24308,28844,21480,26812,12193,29929,26940,26894,28596,22177,27835,10590,29381,26704,26730,26352,20833,25666,10372,31169,26654,29360,31084,21875,30353,11189,30002,25617,24781,17201,20546,21609,8010,29697,24478,25732,26322,22462,26367,9914,30291,28185,27483
2018-12-01,25654,20372,24258,8621,29350,27049,25100,21876,22028,28511,11709,32262,30014,29035,30685,22979,24388,10199,28900,28444,27791,27745,19983,23465,10380,30090,29426,24845,30217,22323,27958,12803,31118,27834,27656,29590,22894,28899,10899,30222,27572,27831,26843,21679,25826,11210,31524,28823,29928,31456,22208,31579,11847,31509,27077,25786,17526,21890,22622,8425,30724,25471,25796,26678,23492,26737,10388,30819,28021,28011
2019-01-01,26647,20553,24832,8749,29486,26372,25039,21770,22166,28468,11617,32360,29948,28876,29665,22699,24529,10254,28007,28492,27232,26992,21010,22902,9964,29283,30666,24636,30447,22258,28042,12687,31317,27680,27594,29662,23077,29117,10843,30253,27649,27806,26564,21748,24989,11464,30563,30569,29481,30818,21827,31869,11771,32302,27652,25872,17337,22748,22922,8368,30783,25738,24914,26145,23900,26024,10415,30255,27061,27625
2019-02-01,24743,18617,22743,7980,26556,23289,22315,19254,20340,25558,10731,29371,27001,26195,26203,20329,22173,9447,24579,25567,24165,23864,19817,20159,8801,25777,28564,22085,26847,20218,25096,11484,27872,25295,25006,26900,21122,26103,9831,27156,24824,24976,23588,19726,21884,10723,27122,28842,26271,27285,19282,29000,10839,29654,25336,23373,15463,21245,20901,7598,27938,23313,21925,23242,21841,23217,9525,26969,23530,24733
2019-03-01,27729,20721,25326,8848,29392,25414,24551,20737,23468,27813,12238,32646,29567,29201,28474,22242,24564,10572,26735,28371,26357,26200,22341,21972,9415,28229,32296,24328,29046,22521,27240,12507,30331,28406,27873,29661,23671,28655,10881,29873,27334,27193,25803,21976,23833,12094,29575,32899,28799,29969,21438,32249,12036,33030,28449,26063,16917,23780,23419,8504,31007,25991,23942,25420,24335,25431,10468,29762,25549,27184
2019-04-01,26925,20214,24562,8571,28546,24705,23802,19547,23610,26535,11918,31712,28315,28340,27595,21352,23701,10076,25906,27409,25552,25356,21754,21234,9175,27344,31112,23375,27367,21832,25940,11725,28764,27849,27082,28644,23278,27592,10490,28792,26234,25867,25032,21411,23146,11617,28698,31819,27944,29042,20644,31232,11621,31968,27687,25201,16323,23045,22519,8151,29970,25190,23171,24751,23507,24543,10200,28819,24719,26286
2019-05-01,27531,20978,25232,8885,29536,25656,24667,19563,25454,27143,12492,32921,28975,29343,29137,21938,24684,10468,26984,28351,26683,26645,22075,22369,9698,28852,31409,24295,27463,22601,26414,11888,29181,29172,28243,29541,24408,28411,10791,29568,27002,26178,26076,22263,24376,11751,30369,32143,29057,30580,21657,32311,11912,32589,28144,25975,16745,23411,23083,8406,30971,25780,24398,25900,23972,25569,10409,30157,26081,27319
2019-06-01,25832,20430,24101,8489,28664,25376,24023,18574,25266,26109,12248,31859,28066,28644,29054,21234,24008,9987,26618,27068,26332,26293,20670,21994,9642,28721,29445,23735,26081,22073,25345,11446,27863,28579,27504,28448,23946,27269,10493,28438,25908,25087,25524,21730,24293,11159,30134,29707,28530,30359,21241,31022,11486,30714,26892,24977,15901,21767,22221,8124,29786,24818,24228,25632,22652,25304,10124,29897,26198,26801
2019-07-01,25959,21174,24505,8666,29651,26770,25080,18913,26148,26888,12656,33102,28826,29482,31212,21779,24723,10186,28078,28054,27918,28051,20323,23478,10264,30769,29074,24862,27201,22761,26292,11681,28880,29396,28273,29622,24899,28275,10788,29337,26672,25878,26810,22605,26041,11189,32034,29115,29886,32350,22501,31938,11556,31007,27112,25762,16330,21398,22514,8252,30741,25435,25732,27023,22992,26704,10324,31766,28247,28121
2019-08-01,25304,21400,24107,8414,29761,27205,25279,19076,25929,27227,12618,33216,29000,29426,32224,21620,24770,10246,28661,27871,28314,28756,19518,24034,10629,31608,27874,24990,27485,22950,26419,11894,29144,29340,28174,29633,25043,28474,10914,29282,26861,26162,27088,23009,26667,10694,32856,27729,30298,33198,23008,31905,11553,30039,26617,25550,16164,20710,22220,8150,30498,25215,26457,27525,22421,27320,10177,32287,29200,28399
2019-09-01,24039,20760,23190,8191,28805,26760,24484,18676,24443,26731,12020,32195,28234,28418,31777,20825,23908,9765,28040,26852,27657,28211,18436,23525,10379,31186,26383,24340,27439,22351,25958,11722,28662,28077,27270,29019,24077,27768,10583,28249,25957,25767,26375,22269,26249,10173,32393,26041,29514,32714,22517,30702,11196,28692,25449,24614,15431,19476,21326,7883,29522,24330,25925,27081,21465,26711,9855,31717,28836,27713
2019-10-01,24918,21586,23996,8393,29870,27543,25348,19721,24481,27916,12135,33262,29346,29165,32939,21221,24916,10131,28749,27642,28587,29303,19018,24408,10813,32281,27150,25060,29356,22925,27329,12426,30333,28726,27875,30209,24942,28972,10784,29127,26986,27171,27225,23136,27285,10421,33584,27101,30496,33818,23288,31699,11445,29639,26421,25470,15617,20043,21951,8113,30461,25109,26810,28108,22009,27709,10180,32811,29820,28565
2019-11-01,24577,21049,23430,8243,28953,26376,24470,19220,23208,27355,11625,32183,28784,28100,31490,20309,23994,9825,27406,26729,27359,28134,19067,23214,10299,30990,26797,24205,29181,22492,26837,12290,29758,27629,26857,29333,24173,28266,10547,28088,26107,26724,26124,22663,25976,10434,32209,27033,29316,32413,22356,30977,11190,28920,25817,24783,14897,19683,21452,7951,29584,24474,25540,27001,21467,26446,9981,31593,28458,27606
2019-12-01,26166,21840,24572,8525,29987,26585,25101,19968,23729,28412,11735,33372,29610,28975,31662,20667,25000,10308,27556,27512,27816,28535,20542,23479,10299,31251,28535,24783,30704,23263,28032,12884,31179,28333,27614,30582,25023,29511,10897,29081,26970,27852,26487,23661,26044,11117,32556,29416,29837,32984,22922,32260,11654,30343,27228,25799,15078,21101,22420,8342,30595,25533,25847,27388,22382,26860,10251,32341,28376,28068
